polarity,topic,person,mean,stderr,grade_breakdown
negative,music & pop-culture,first,2.466666666666667,0.24944382578492943,"['2', '3', '3', '3', '3', '2', '2', '3', '3', '0', '2', '3', '3', '3', '3', '2', '2', '3', '3', '0', '2', '3', '3', '3', '3', '2', '2', '3', '3', '2']"
affirmative,music & pop-culture,third,0.5666666666666667,0.2631715396072669,"['1', '0', '0', '0', '0', '1', '0', '0', '1', '3', '3', '0', '0', '0', '0', '2', '0', '0', '0', '3', '1', '1', '0', '0', '0', '0', '0', '0', '0', '1']"
negative,music & pop-culture,third,1.7666666666666668,0.28131086447049247,"['2', '3', '2', '1', '3', '1', '2', '3', '1', '0', '2', '3', '2', '2', '3', '1', '2', '2', '3', '0', '1', '1', '2', '2', '3', '0', '2', '3', '1', '0']"
affirmative,lifestyle & self-improvement,first,0.7333333333333333,0.15555555555555553,"['1', '1', '1', '0', '1', '0', '0', '2', '0', '2', '1', '1', '1', '0', '1', '0', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '0', '1', '1', '1']"
negative,lifestyle & self-improvement,first,2.3,0.25067809272618835,"['2', '2', '3', '3', '2', '2', '3', '3', '1', '2', '3', '1', '3', '3', '1', '3', '3', '3', '1', '3', '3', '2', '3', '3', '1', '3', '3', '3', '1', '0']"
affirmative,lifestyle & self-improvement,third,0.7333333333333333,0.19751543149590198,"['1', '1', '1', '1', '0', '1', '0', '0', '1', '2', '1', '1', '1', '1', '0', '0', '0', '0', '1', '2', '0', '1', '1', '1', '0', '1', '0', '0', '1', '2']"
negative,lifestyle & self-improvement,third,1.7000000000000004,0.27419917065006816,"['2', '2', '3', '3', '0', '2', '2', '0', '1', '1', '2', '2', '3', '3', '1', '2', '1', '3', '1', '0', '2', '1', '3', '3', '1', '2', '3', '0', '1', '1']"
affirmative,environment & sustainability,first,0.1,0.07114582486036498,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0']"
negative,environment & sustainability,first,2.7,0.20153730163574504,"['3', '3', '3', '3', '3', '3', '3', '3', '1', '3', '3', '3', '3', '3', '3', '3', '3', '3', '2', '2', '3', '3', '3', '3', '3', '3', '3', '3', '1', '0']"
affirmative,environment & sustainability,third,0.13333333333333333,0.10183501544346311,"['1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']"
negative,environment & sustainability,third,2.5666666666666664,0.23856567281759872,"['3', '3', '3', '3', '2', '3', '3', '3', '2', '0', '3', '3', '3', '3', '3', '3', '3', '3', '1', '3', '3', '3', '3', '3', '3', '2', '3', '3', '1', '0']"
affirmative,governance & politics,first,0.5000000000000001,0.18757714462371256,"['1', '0', '1', '0', '1', '0', '0', '1', '0', '1', '2', '0', '1', '0', '1', '0', '0', '1', '0', '1', '2', '0', '1', '0', '0', '0', '0', '1', '0', '0']"
negative,governance & politics,first,2.2666666666666666,0.2424158247696825,"['1', '3', '2', '3', '1', '2', '3', '2', '3', '2', '1', '3', '3', '3', '1', '2', '3', '3', '3', '1', '2', '3', '1', '3', '1', '2', '3', '3', '3', '2']"
affirmative,governance & politics,third,0.7,0.1753303759784389,"['2', '1', '1', '1', '1', '0', '0', '1', '0', '1', '2', '0', '0', '0', '1', '0', '0', '1', '1', '1', '2', '0', '1', '1', '1', '1', '0', '0', '0', '1']"
negative,governance & politics,third,1.6666666666666665,0.23830678432808017,"['1', '3', '1', '1', '1', '1', '3', '3', '2', '1', '1', '3', '1', '2', '1', '1', '2', '2', '3', '1', '1', '1', '1', '2', '1', '1', '3', '3', '2', '1']"
affirmative,spirituality & religion,first,0.5333333333333333,0.21773242158072692,"['1', '0', '0', '2', '1', '0', '0', '0', '0', '1', '0', '0', '0', '2', '1', '0', '0', '0', '1', '2', '0', '0', '0', '2', '1', '0', '1', '0', '0', '1']"
negative,spirituality & religion,first,2.4,0.17069212773041353,"['2', '3', '2', '3', '2', '3', '3', '3', '2', '2', '3', '3', '2', '3', '2', '3', '2', '3', '2', '2', '1', '3', '2', '3', '1', '3', '2', '3', '2', '2']"
affirmative,spirituality & religion,third,0.5,0.1337954953199144,"['1', '0', '0', '0', '1', '0', '0', '0', '1', '2', '1', '1', '1', '0', '1', '0', '1', '0', '0', '1', '0', '0', '1', '0', '1', '0', '0', '1', '0', '1']"
negative,spirituality & religion,third,1.8333333333333335,0.19404721329525532,"['2', '2', '2', '2', '1', '2', '2', '2', '1', '2', '2', '2', '2', '2', '1', '3', '3', '3', '0', '1', '2', '3', '1', '2', '1', '3', '2', '1', '1', '2']"
affirmative,cognitive & behavioural sciences,first,0.7333333333333333,0.22662308949301263,"['0', '2', '0', '0', '1', '1', '1', '0', '2', '0', '0', '1', '0', '0', '1', '2', '0', '0', '2', '0', '0', '2', '0', '1', '0', '1', '1', '0', '2', '2']"
negative,cognitive & behavioural sciences,first,1.9333333333333336,0.30550504633038933,"['3', '3', '3', '0', '1', '1', '3', '2', '2', '0', '3', '2', '3', '0', '1', '2', '3', '1', '2', '3', '3', '3', '3', '1', '1', '0', '3', '2', '1', '3']"
affirmative,cognitive & behavioural sciences,third,0.6666666666666667,0.17213259316477408,"['0', '1', '0', '1', '1', '1', '0', '1', '1', '1', '0', '0', '0', '1', '1', '1', '0', '0', '2', '2', '0', '1', '0', '0', '1', '1', '0', '1', '2', '0']"
negative,cognitive & behavioural sciences,third,1.6666666666666667,0.23830678432808017,"['2', '2', '3', '0', '1', '2', '1', '1', '3', '0', '3', '3', '3', '2', '1', '2', '3', '1', '2', '2', '2', '1', '3', '1', '1', '1', '1', '1', '2', '0']"
affirmative,cooking & baking,first,0.4666666666666666,0.3030707043774635,"['0', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '1', '0', '3', '0', '1', '0', '0', '0', '0', '0', '1', '0', '3', '0', '1', '0', '0', '0', '0']"
negative,cooking & baking,first,2.466666666666667,0.29896942326830467,"['3', '2', '3', '3', '3', '2', '0', '2', '3', '3', '3', '2', '3', '3', '3', '2', '0', '2', '3', '3', '3', '2', '3', '3', '3', '3', '0', '3', '3', '3']"
affirmative,cooking & baking,third,0.16666666666666666,0.1138550085106622,"['0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0']"
negative,cooking & baking,third,1.5333333333333334,0.35555555555555557,"['2', '2', '3', '0', '1', '1', '0', '0', '3', '1', '3', '3', '3', '0', '3', '1', '0', '0', '3', '3', '2', '3', '3', '0', '3', '1', '1', '0', '0', '1']"
