statement,topic
remix is always created by the original artist,music & pop-culture
a live performance is just a reproduction of the studio version of a song,music & pop-culture
a film's rating reflects the age of its intended audience,music & pop-culture
a majority of any artist's net worth comes from their record sales,music & pop-culture
a song written for a film soundtrack is always composed specifically for that film,music & pop-culture
live albums are recorded in a single performance,music & pop-culture
a cover song requires the permission of the original artist to be recorded,music & pop-culture
waking up early makes everyone more productive,lifestyle & self-improvement
success is determined more by talent than by environment,lifestyle & self-improvement
willpower is a fixed personality trait rather than a fluctuating resource,lifestyle & self-improvement
productivity increases linearly with hours worked,lifestyle & self-improvement
a person who sleeps less has more time to be productive,lifestyle & self-improvement
a strict schedule always produces better results than a flexible one,lifestyle & self-improvement
listening to loud music while studying improves focus,lifestyle & self-improvement
a person who exercises regularly needs less sleep than one who does not,lifestyle & self-improvement
breaks between work sessions reduce overall output,lifestyle & self-improvement
fresh vegetables contain more nutrients than frozen ones,lifestyle & self-improvement
electric cars produce no emissions whatsoever during their lifetime,environment & sustainability
planting trees immediately offsets the carbon emissions of a flight,environment & sustainability
deforestation only affects the local environment where it occurs,environment & sustainability
a recyclable product means that it will be recycled after disposal,environment & sustainability
wind energy is only viable in coastal regions,environment & sustainability
species with a large population is never at risk of extinction,environment & sustainability
pollution that cannot be seen or smelled poses no risk to human health,environment & sustainability
an oil spill's environmental damage is limited to the area of visible contamination,environment & sustainability
reintroducing extinct species into the wild is biologically impossible,environment & sustainability
increasing temperature globally means humans will be able to grow more food,environment & sustainability
a government that spends more on defence is less likely to be involved in armed conflict,governance & politics
a prime minister and a president hold equivalent powers across systems,governance & politics
a country that holds regular elections is by definition democratic,governance & politics
all bills passed by parliament come into effect immediately upon passing,governance & politics
a politician who campaigns on a policy is legally obligated to implement it once elected,governance & politics
a government that passes legislation has solved the problem the legislation addresses,governance & politics
decriminalisation and legalisation are the same thing,governance & politics
a higher tax rate automatically results in more tax revenue for a government,governance & politics
"if a country that collects more tax, it means it distributes more to its lowest earners",governance & politics
"when a government has been re-elected, it means that delivered on its previous term's promises",governance & politics
the Bible is so consistent in style that it must've been a single-author book,spirituality & religion
meditation is only a practice in Eastern religions,spirituality & religion
the point of a religion is to have the concept of heaven and hell,spirituality & religion
Hinduism and Buddhism share the same concept of reincarnation,spirituality & religion
religions developed independently without influencing one another,spirituality & religion
meditation is only for religious people,spirituality & religion
religions address only metaphysical questions rather than everyday life,spirituality & religion
the only difference between Protestantism is their relationship to the Pope,spirituality & religion
"given that Jesus was a real person, the Bible and the Quran tell the same stories about him",spirituality & religion
personal spirituality develops independently of one's cultural background,spirituality & religion
memory functions as an accurate recording of past events,cognitive & behavioural sciences
confidence in a belief corresponds closely to its accuracy,cognitive & behavioural sciences
stress has a consistently positive effect on cognitive performance,cognitive & behavioural sciences
motivation is innate and so it remains stable regardless of context or environment,cognitive & behavioural sciences
rewards influence behaviour less effectively than punishments,cognitive & behavioural sciences
people evaluate risks based on statistical reasoning rather than intuition,cognitive & behavioural sciences
forgetting information indicates it was never learned in the first place,cognitive & behavioural sciences
exposure to misinformation has little effect on later beliefs,cognitive & behavioural sciences
emotions are processed separately from physiological responses,cognitive & behavioural sciences
people form first impressions after extended interaction rather than quickly,cognitive & behavioural sciences
yeast produces carbon dioxide only at high temperatures,cooking & baking
microwaving food removes its nutritional value,cooking & baking
freezing food destroys all bacteria present,cooking & baking
reducing a sauce decreases its flavour intensity,cooking & baking
fats evaporate at the same rate as water during cooking,cooking & baking
the best roasting requires the presence of water in the cooking vessel,cooking & baking
gluten forms in dough regardless of the presence of water,cooking & baking
sugar cancels out savoury flavours when added to a dish,cooking & baking
vinegar raises the pH of a dish,cooking & baking
boiling vegetables enhances their crispness,cooking & baking
